iter	Passed	Remaining
471	692	774
472	693	772
473	694	770
474	695	768
475	696	766
476	697	764
477	698	762
478	699	760
479	700	759
480	701	757
481	702	755
482	703	753
483	704	751
484	705	749
485	706	747
486	707	745
487	708	743
488	709	741
489	711	740
490	712	738
491	713	736
492	714	734
493	715	733
494	716	731
495	717	729
496	718	727
497	719	725
498	720	723
499	721	721
500	722	720
501	724	718
502	725	716
503	726	714
504	727	713
505	729	711
506	730	710
507	731	708
508	732	706
509	733	704
510	734	702
511	735	700
512	736	699
513	737	697
514	738	695
515	739	693
516	740	692
517	741	690
518	742	688
519	743	686
520	745	684
521	746	683
522	747	681
523	749	680
524	750	678
525	751	676
526	752	675
527	753	673
528	754	671
529	755	669
530	756	668
531	757	666
532	758	664
533	759	662
534	760	661
535	761	659
536	762	657
537	763	655
538	764	654
539	765	652
540	766	650
541	768	649
542	769	647
543	770	645
544	771	644
545	772	642
546	773	640
547	774	639
548	775	637
549	776	635
550	778	634
551	779	632
552	780	630
553	781	629
554	782	627
555	783	625
556	784	624
557	786	622
558	787	621
559	788	619
560	789	618
561	791	616
562	791	614
563	792	612
564	793	611
565	794	609
566	795	607
567	796	606
568	797	604
569	798	602
570	799	600
571	800	599
572	802	597
573	803	596
574	804	594
575	805	592
576	806	591
577	807	589
578	808	588
579	810	586
580	811	585
581	812	583
582	813	581
583	814	579
584	815	578
585	816	576
586	817	574
587	817	573
588	818	571
589	819	569
590	820	568
591	821	566
592	822	564
593	824	563
594	825	561
595	826	559
596	827	558
597	828	556
598	829	555
599	830	553
600	831	551
601	832	550
602	833	548
603	834	547
604	835	545
605	836	543
606	837	542
607	838	540
608	839	539
609	840	537
610	841	535
611	842	534
612	844	532
613	845	531
614	846	529
615	847	528
616	848	526
617	849	525
618	850	523
619	851	522
620	852	520
621	853	518
622	854	517
623	855	515
624	857	514
625	858	512
626	859	511
627	860	509
628	861	507
629	862	506
630	863	504
631	864	503
632	865	501
633	866	500
634	867	498
635	868	497
636	869	495
637	870	493
638	871	492
639	872	490
640	873	489
641	874	487
642	876	486
643	877	485
644	878	483
645	879	482
646	880	480
647	881	479
648	882	477
649	883	475
650	885	474
651	886	472
652	887	471
653	888	469
654	889	468
655	890	466
656	891	465
657	892	464
658	894	462
659	895	461
660	896	459
661	898	458
662	899	457
663	900	455
664	901	454
665	903	452
666	904	451
667	905	449
668	906	448
669	907	446
670	908	445
671	909	443
672	910	442
673	911	441
674	912	439
675	913	438
676	914	436
677	915	434
678	916	433
679	917	431
680	918	430
681	920	429
682	921	427
683	923	426
684	925	425
685	926	424
686	928	423
687	929	421
688	931	420
689	932	418
690	933	417
691	934	415
692	935	414
693	936	412
694	937	411
695	938	410
696	940	408
697	941	407
698	942	406
699	943	404
700	945	403
701	947	402
702	948	400
703	948	398
704	949	397
705	950	395
706	951	394
707	952	392
708	953	391
709	954	389
710	955	388
711	956	386
712	957	385
713	958	383
714	959	382
715	960	381
716	961	379
717	962	378
718	963	376
719	964	375
720	965	373
721	966	372
722	967	370
723	968	369
724	969	367
725	970	366
726	971	364
727	972	363
728	973	361
729	974	360
730	975	358
731	976	357
732	977	356
733	978	354
734	979	353
735	980	351
736	981	350
737	982	348
738	983	347
739	984	345
740	985	344
741	986	343
742	987	341
743	988	340
744	989	338
745	990	337
746	991	335
747	992	334
748	993	332
749	994	331
750	995	329
751	996	328
752	997	327
753	998	325
754	999	324
755	1000	323
756	1001	321
757	1003	320
758	1004	318
759	1005	317
760	1006	316
761	1007	314
762	1008	313
763	1009	311
764	1010	310
765	1011	309
766	1013	307
767	1014	306
768	1015	304
769	1016	303
770	1017	302
771	1018	300
772	1019	299
773	1019	297
774	1020	296
775	1022	295
776	1023	293
777	1024	292
778	1025	290
779	1026	289
780	1027	288
781	1028	286
782	1030	285
783	1032	284
784	1033	283
785	1034	281
786	1035	280
787	1036	278
788	1037	277
789	1038	276
790	1040	274
791	1041	273
792	1042	272
793	1043	270
794	1044	269
795	1045	267
796	1046	266
797	1047	265
798	1048	263
799	1049	262
800	1050	261
801	1052	259
802	1053	258
803	1053	256
804	1054	255
805	1056	254
806	1057	252
807	1058	251
808	1060	250
809	1061	248
810	1062	247
811	1063	246
812	1064	244
813	1065	243
814	1066	242
815	1067	240
816	1068	239
817	1069	237
818	1070	236
819	1071	235
820	1073	234
821	1074	232
822	1075	231
823	1076	230
824	1078	228
825	1079	227
826	1080	226
827	1081	224
828	1083	223
829	1084	222
830	1085	220
831	1086	219
832	1088	218
833	1089	216
834	1091	215
835	1092	214
836	1093	213
837	1095	211
838	1096	210
839	1098	209
840	1099	207
841	1100	206
842	1101	205
843	1103	203
844	1104	202
845	1105	201
846	1106	199
847	1107	198
848	1115	198
849	1117	197
850	1118	195
851	1119	194
852	1120	193
853	1122	191
854	1123	190
855	1124	189
856	1125	187
857	1128	186
858	1129	185
859	1130	184
860	1131	182
861	1132	181
862	1134	180
863	1135	178
864	1136	177
865	1138	176
866	1139	174
867	1141	173
868	1143	172
869	1145	171
870	1146	169
871	1148	168
872	1149	167
873	1150	165
874	1154	164
875	1155	163
876	1156	162
877	1157	160
878	1159	159
879	1161	158
880	1162	157
881	1163	155
882	1165	154
883	1166	153
884	1167	151
885	1169	150
886	1170	149
887	1172	147
888	1173	146
889	1175	145
890	1176	143
891	1177	142
892	1178	141
893	1180	139
894	1181	138
895	1182	137
896	1186	136
897	1188	135
898	1190	133
899	1191	132
900	1193	131
901	1194	129
902	1196	128
903	1197	127
904	1198	125
905	1199	124
906	1201	123
907	1203	121
908	1204	120
909	1205	119
910	1207	117
911	1208	116
912	1209	115
913	1211	113
914	1212	112
915	1213	111
916	1214	109
917	1215	108
918	1216	107
919	1217	105
920	1218	104
921	1220	103
922	1221	101
923	1222	100
924	1223	99
925	1226	97
926	1227	96
927	1228	95
928	1229	93
929	1231	92
930	1232	91
931	1233	89
932	1234	88
933	1235	87
934	1236	85
935	1237	84
936	1238	83
937	1239	81
938	1241	80
939	1242	79
940	1243	77
941	1244	76
942	1246	75
943	1247	73
944	1248	72
945	1249	71
946	1250	69
947	1251	68
948	1252	67
949	1253	65
950	1254	64
951	1255	63
952	1256	61
953	1257	60
954	1259	59
955	1260	58
956	1261	56
957	1263	55
958	1264	54
959	1265	52
960	1266	51
961	1267	50
962	1268	48
963	1269	47
964	1271	46
965	1272	44
966	1273	43
967	1274	42
968	1275	40
969	1276	39
970	1277	38
971	1279	36
972	1280	35
973	1281	34
974	1282	32
975	1283	31
976	1284	30
977	1285	28
978	1286	27
979	1287	26
980	1289	24
981	1290	23
982	1291	22
983	1293	21
984	1294	19
985	1295	18
986	1297	17
987	1298	15
988	1299	14
989	1300	13
990	1301	11
991	1303	10
992	1304	9
993	1305	7
994	1306	6
995	1307	5
996	1308	3
997	1310	2
998	1311	1
999	1312	0
